Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery




Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
2685	-61	34	7	3	52 00 65 FF 71 00 EA 48 
2685	-68	35	7	3	92 00 65 01 01 37 E2 C6 
2687	-77	36	7	3	82 00 65 29 A9 00 05 46 
2686	-68	37	7	3	E2 00 65 80 01 00 ED 84 
2686	-61	38	7	3	52 00 65 FF 71 00 EA 48 
2687	-60	39	7	3	A2 00 65 F2 29 00 BE B3 
2686	-73	40	7	3	82 00 65 29 A9 00 05 46 
2686	-60	41	7	3	E2 00 65 80 01 00 ED 84 
2687	-67	42	7	3	52 00 65 FF 71 00 EA 48 
Got CRC error. 3B EE 08 CF 07 54 C3 FF    Seconds since last error: 138    Minutes running: 16.18

72566	-62	18	8	3	E2 00 6D 80 03 00 0E 25 
2686	-72	19	8	3	52 00 6D FF 73 00 09 E9 
2686	-69	20	8	3	42 00 6D FF C3 00 0D 60 
RxTime	RSSI	chan	crc err	ID	packet
2687	-64	21	8	3	82 00 6D 29 AB 00 E6 E7 
2673	-70	22	8	3	E2 00 6D 80 03 00 0E 25 
2686	-75	23	8	3	52 00 6D FF 73 00 09 E9 
2687	-64	24	8	3	92 00 6D 01 03 57 6D C1 
2686	-76	25	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-63	26	8	3	E2 00 6D 80 03 00 0E 25 
2687	-66	27	8	3	52 00 6D FF 73 00 09 E9 
2686	-73	28	8	3	A2 00 6D F5 2B 00 D8 82 
2686	-75	29	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-63	30	8	3	E2 00 6D 80 03 00 0E 25 
2686	-64	31	8	3	52 00 6D FF 73 00 09 E9 
2686	-74	32	8	3	A2 00 6D F5 2B 00 D8 82 
2686	-67	33	8	3	82 00 6D 29 AB 00 E6 E7 
2687	-59	34	8	3	E2 00 6D 80 03 00 0E 25 
2686	-73	35	8	3	52 00 6D FF 73 00 09 E9 
2686	-80	36	8	3	62 00 6D FF C3 00 38 68 
2687	-72	37	8	3	82 00 6D 29 AB 00 E6 E7 
2686	-62	38	8	3	E2 00 6D 80 03 00 0E 25 
2686	-67	39	8	3	52 00 6D FF 73 00 09 E9 
2687	-78	40	8	3	42 00 6D FF C3 00 0D 60 
2686	-62	41	8	3	82 00 6D 29 AB 00 E6 E7 
