Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery
Changed ID to 1 to see if CRC errors would get better, but it didn't help
got an error every 130 seconds on average
Packet interval was set too 2562



Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
2563	-72	32	5	1	80 00 99 2B 69 00 26 4D 
2561	-73	33	5	1	E0 00 9A 80 03 00 4B 05 
2561	-65	34	5	1	50 00 9A FF 73 00 4C C9 
2561	-69	35	5	1	A0 00 9A B7 2B 00 EE 6F 
2561	-60	36	5	1	80 00 9A 2B 6B 00 DB F3 
2561	-75	37	5	1	E0 00 9A 80 03 00 4B 05 
RxTime	RSSI	chan	crc err	ID	packet
2562	-65	38	5	1	50 00 97 FF 73 00 75 4F 
2549	-64	39	5	1	A0 00 87 B7 2B 00 CC 4E 
2562	-67	40	5	1	80 00 8B 2B 69 00 D0 82 
2561	-63	41	5	1	E0 00 8B 80 01 00 40 74 
2561	-64	42	5	1	50 00 8B FF 71 00 47 B8 
Got CRC error. DE D7 5C 63 27 34 67 79    Seconds since last error: 261    Minutes running: 17.01

69191	-63	18	6	1	E0 00 8B 80 01 00 40 74 
2561	-60	19	6	1	50 00 8B FF 71 00 47 B8 
2561	-65	20	6	1	90 00 8B 06 01 59 47 CE 
2561	-64	21	6	1	80 00 8B 2B 69 00 D0 82 
2561	-69	22	6	1	E0 00 8B 80 01 00 40 74 
2562	-64	23	6	1	50 00 8B FF 71 00 47 B8 
2561	-68	24	6	1	A0 00 8B BF 29 00 4C BF 
2561	-59	25	6	1	80 00 8B 2B 69 00 D0 82 
2561	-65	26	6	1	E0 00 8B 80 01 00 40 74 
2561	-72	27	6	1	50 00 8B FF 71 00 47 B8 
2562	-68	28	6	1	A0 00 8B BF 29 00 4C BF 
2562	-59	29	6	1	80 00 8B 2B 69 00 D0 82 
2561	-64	30	6	1	E0 00 8B 80 01 00 40 74 
2561	-67	31	6	1	50 00 8B FF 71 00 47 B8 
Got CRC error. C1 00 2E FE 0F 06 70 97    Seconds since last error: 103    Minutes running: 18.73

5124	-70	33	7	1	80 00 8B 2B 69 00 D0 82 
2561	-61	34	7	1	E0 00 8B 80 01 00 40 74 
2561	-68	35	7	1	50 00 8B FF 71 00 47 B8 
RxTime	RSSI	chan	crc err	ID	packet
2562	-64	36	7	1	40 00 8B FF C1 00 43 31 
2549	-69	37	7	1	80 00 8B 2B 69 00 D0 82 
2561	-67	38	7	1	E0 00 8B 80 01 00 40 74 
2561	-65	39	7	1	50 00 8B FF 71 00 47 B8 
2561	-66	40	7	1	90 00 8B 06 01 69 71 9D 
2562	-64	41	7	1	80 00 8B 2B 69 00 D0 82 
2561	-67	42	7	1	E0 00 8B 80 01 00 40 74 
Got CRC error. 00 BB 6F 66 81 F9 3E 97    Seconds since last error: 26    Minutes running: 19.18

69191	-65	18	8	1	80 00 8B 2B 69 00 D0 82 
2561	-62	19	8	1	E0 00 8B 80 01 00 40 74 
2561	-68	20	8	1	50 00 8B FF 71 00 47 B8 
2561	-65	21	8	1	60 00 8B FF C1 00 76 39 
2561	-73	22	8	1	80 00 8B 2B 69 00 D0 82 
2561	-68	23	8	1	E0 00 8B 80 01 00 40 74 
2562	-69	24	8	1	50 00 8B FF 71 00 47 B8 
2561	-59	25	8	1	40 00 8B FF C1 00 43 31 
2561	-69	26	8	1	80 00 8B 2B 69 00 D0 82 
2561	-71	27	8	1	E0 00 8B 80 01 00 40 74 
2561	-68	28	8	1	50 00 8B FF 71 00 47 B8 
2562	-62	29	8	1	90 00 8B 06 01 89 8C B3 
2561	-67	30	8	1	80 00 8B 2B 69 00 D0 82 
2561	-69	31	8	1	E0 00 8B 80 01 00 40 74 
2561	-68	32	8	1	50 00 8B FF 71 00 47 B8 
RxTime	RSSI	chan	crc err	ID	packet
2561	-71	33	8	1	A0 00 8B D1 29 00 CC D5 
2550	-66	34	8	1	80 00 8B 2B 69 00 D0 82 
2561	-71	35	8	1	E0 00 8B 80 01 00 40 74 
2561	-62	36	8	1	50 00 8B FF 71 00 47 B8 
2562	-67	37	8	1	A0 00 8B D1 29 00 CC D5 
2561	-68	38	8	1	80 00 8B 2B 69 00 D0 82 
2561	-69	39	8	1	E0 00 8B 80 01 00 40 74 
2561	-69	40	8	1	50 00 8B FF 71 00 47 B8 
2561	-65	41	8	1	60 00 8B FF C1 00 76 39 
2563	-64	42	8	1	80 00 8B 2B 69 00 D0 82 
Got CRC error. FC 2A 05 70 50 D2 2F 4D    Seconds since last error: 131    Minutes running: 21.36

69190	-65	18	9	1	90 00 8B 05 01 97 26 1C 
2561	-64	19	9	1	80 00 8B 2B 69 00 D0 82 
2561	-69	20	9	1	E0 00 8B 80 01 00 40 74 
2561	-65	21	9	1	50 00 8B FF 71 00 47 B8 
2561	-71	22	9	1	A0 00 8B CD 29 00 FA D7 
2561	-67	23	9	1	80 00 8B 2B 69 00 D0 82 
2561	-67	24	9	1	E0 00 8B 80 01 00 40 74 
2562	-64	25	9	1	50 00 8B FF 71 00 47 B8 
2561	-63	26	9	1	A0 00 8B CD 29 00 FA D7 
2561	-68	27	9	1	80 00 8B 2B 69 00 D0 82 
2561	-68	28	9	1	E0 00 8B 80 01 00 40 74 
2561	-66	29	9	1	50 00 8B FF 71 00 47 B8 
RxTime	RSSI	chan	crc err	ID	packet
2562	-64	30	9	1	60 00 8B FF C1 00 76 39 
2549	-64	31	9	1	80 00 8B 2B 69 00 D0 82 
2561	-70	32	9	1	E0 00 8B 80 01 00 40 74 
2561	-70	33	9	1	50 00 8B FF 71 00 47 B8 
2561	-65	34	9	1	40 00 8B FF C1 00 43 31 
2561	-71	35	9	1	80 00 8B 2B 59 00 D5 17 
2561	-65	36	9	1	E0 00 8B 80 01 00 40 74 
2561	-66	37	9	1	50 00 8B FF 71 00 47 B8 
2562	-65	38	9	1	90 00 8B 01 01 99 1B 12 
2561	-67	39	9	1	80 00 8B 2B 69 00 D0 82 
2561	-69	40	9	1	E0 00 8B 80 01 00 40 74 
2561	-67	41	9	1	50 00 8B FF 71 00 47 B8 
2561	-69	42	9	1	A0 00 8B D3 29 00 A2 B5 
Got CRC error. 65 B6 9A 3B FB 39 F4 C6    Seconds since last error: 131    Minutes running: 23.56

5124	-69	44	10	1	E0 00 8B 80 01 00 40 74 
2561	-72	45	10	1	50 00 8B FF 71 00 47 B8 
2561	-65	46	10	1	A0 00 8B D3 29 00 A2 B5 
2561	-73	47	10	1	80 00 8B 2B 59 00 D5 17 
2561	-67	48	10	1	E0 00 8B 80 01 00 40 74 
2561	-71	49	10	1	50 00 8B FF 71 00 47 B8 
2561	-65	50	10	1	60 00 8B FF C1 00 76 39 
2561	-67	0	10	1	80 00 8B 2B 59 00 D5 17 
2561	-68	1	10	1	E0 00 8B 80 01 00 40 74 
RxTime	RSSI	chan	crc err	ID	packet
2561	-70	2	10	1	50 00 8B FF 71 00 47 B8 
2548	-66	3	10	1	40 00 8B FF C1 00 43 31 
2561	-71	4	10	1	80 00 8B 2B 59 00 D5 17 
2562	-67	5	10	1	E0 00 8B 80 01 00 40 74 
2561	-62	6	10	1	50 00 8B FF 71 00 47 B8 
2561	-71	7	10	1	90 00 8B 00 01 09 AF 9B 
2561	-68	8	10	1	80 00 8B 2B 59 00 D5 17 
2561	-67	9	10	1	E0 00 8B 80 01 00 40 74 
2562	-74	10	10	1	50 00 8B FF 71 00 47 B8 
2561	-67	11	10	1	A0 00 8B CC 29 00 CD E7 
2561	-71	12	10	1	80 00 8B 2B 59 00 D5 17 
2562	-61	13	10	1	E0 00 8B 80 01 00 40 74 
2561	-67	14	10	1	50 00 8B FF 71 00 47 B8 
2561	-66	15	10	1	A0 00 8B CC 29 00 CD E7 
2561	-74	16	10	1	80 00 8B 2B 59 00 D5 17 
2561	-67	17	10	1	E0 00 8B 80 01 00 40 74 
2562	-69	18	10	1	50 00 8B FF 71 00 47 B8 
2561	-59	19	10	1	60 00 8B FF C1 00 76 39 
Got CRC error. 13 B5 6F E7 70 65 06 3A    Seconds since last error: 69    Minutes running: 24.71

69190	-64	46	11	1	50 00 8B FF 71 00 47 B8 
2561	-68	47	11	1	90 00 8B 00 01 09 AF 9B 
2561	-67	48	11	1	80 00 8B 2B 49 00 D6 64 
2561	-71	49	11	1	E0 00 8B 80 01 00 40 74 
RxTime	RSSI	chan	crc err	ID	packet
2562	-64	50	11	1	50 00 8B FF 71 00 47 B8 
2547	-66	0	11	1	A0 00 8B D2 29 00 95 85 
2561	-65	1	11	1	80 00 8B 2B 49 00 D6 64 
2561	-68	2	11	1	E0 00 8B 80 01 00 40 74 
2561	-68	3	11	1	50 00 8B FF 71 00 47 B8 
2561	-72	4	11	1	A0 00 8B D2 29 00 95 85 
2561	-65	5	11	1	80 00 8B 2B 49 00 D6 64 
2562	-61	6	11	1	E0 00 8B 80 01 00 40 74 
2561	-68	7	11	1	50 00 8B FF 71 00 47 B8 
2561	-65	8	11	1	60 00 8B FF C1 00 76 39 
2561	-68	9	11	1	80 00 8B 2B 49 00 D6 64 
2561	-68	10	11	1	E0 00 8B 80 01 00 40 74 
2561	-67	11	11	1	50 00 8B FF 71 00 47 B8 
2561	-69	12	11	1	40 00 8B FF C1 00 43 31 
2561	-64	13	11	1	80 00 8B 2B 49 00 D6 64 
2562	-66	14	11	1	E0 00 8B 80 01 00 40 74 
2561	-66	15	11	1	50 00 8B FF 71 00 47 B8 
2562	-73	16	11	1	90 00 8B 00 01 09 AF 9B 
2561	-67	17	11	1	80 00 8B 2B 49 00 D6 64 
2561	-67	18	11	1	E0 00 8B 80 01 00 40 74 
2562	-62	19	11	1	50 00 8B FF 71 00 47 B8 
